A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
47,264,291,Alvaro Vega,M,40,1237,1:15:15,01:56,213 / 782 / 940,09:23,5:11:46,21.55,58 / 267 / 285,03:24,3:54:24,08:56,55 / 261 / 304,10:34:11
48,271,303,Thomas Bookless,M,40,1191,1:05:33,01:41,45 / 239 / 280,06:12,5:37:10,19.93,178 / 653 / 736,04:33,3:42:27,08:29,29 / 165 / 186,10:35:53
49,273,305,Adam Lawrence,M,40,1052,1:14:38,01:55,198 / 752 / 899,06:49,5:12:46,21.49,61 / 277 / 296,03:30,3:58:39,09:06,68 / 303 / 357,10:36:21
50,280,313,Eric Chet,M,40,1235,1:04:46,01:40,36 / 205 / 240,07:18,5:18:41,21.09,76 / 350 / 377,04:42,4:01:42,09:13,77 / 340 / 398,10:37:07
51,285,321,Bryan Prushinski,M,40,1136,1:15:34,01:57,215 / 798 / 957,07:33,5:22:09,20.86,93 / 400 / 433,03:42,3:49:35,08:45,40 / 209 / 248,10:38:31
52,289,325,TORALF PETERS,M,40,1110,1:11:59,01:51,137 / 561 / 655,06:54,5:15:27,21.3,64 / 301 / 324,05:30,3:59:19,09:08,69 / 315 / 370,10:39:06
53,294,330,Thomas Grimpe,M,40,1024,1:05:27,01:41,43 / 234 / 275,05:24,5:18:33,21.1,74 / 345 / 372,03:07,4:08:00,09:27,90 / 407 / 480,10:40:29
54,295,331,Sean Londergan,M,40,1402,59:23,01:32,6 / 49 / 51,06:59,5:33:38,20.14,153 / 588 / 661,04:32,3:56:06,09:00,60 / 280 / 325,10:40:36
55,296,333,Pascal Fumeaux,M,40,1185,1:12:24,01:52,147 / 592 / 692,05:48,5:02:04,22.25,26 / 160 / 172,05:45,4:15:01,09:44,112 / 476 / 575,10:40:59
56,305,343,Rob Janssen,M,40,1299,1:22:08,02:07,317 / 1159 / 1424,08:22,5:06:35,21.92,38 / 204 / 217,06:21,4:00:39,09:11,75 / 331 / 389,10:44:02
