A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
68,374,442,Ricky JEFFS,M,40,693,1:03:34,01:40,35 / 173 / 201,05:05,5:16:50,21.18,30 / 168 / 180,06:14,5:15:17,12:01,129 / 565 / 716,11:47:01
69,377,448,Damein Nabbs,M,40,736,1:05:43,01:43,46 / 222 / 262,04:22,5:10:29,21.61,23 / 115 / 124,05:15,5:22:05,12:16,139 / 597 / 754,11:47:56
70,383,459,Craig Stack,M,40,779,1:02:52,01:39,33 / 162 / 188,05:47,5:58:50,18.7,116 / 519 / 601,03:29,4:38:32,10:37,87 / 393 / 491,11:49:33
71,390,466,Ed Lupton,M,40,717,1:14:18,01:57,113 / 487 / 590,04:34,5:49:30,19.2,92 / 443 / 508,03:52,4:38:48,10:37,88 / 395 / 493,11:51:04
72,391,467,Moze Terazawa,M,40,789,1:31:47,02:24,186 / 803 / 992,07:10,6:15:47,17.86,152 / 644 / 762,03:34,3:52:55,08:52,26 / 142 / 166,11:51:14
73,393,469,Thomas Keitel,M,40,699,1:06:29,01:44,55 / 251 / 297,07:49,5:38:44,19.81,68 / 347 / 391,06:13,4:52:03,11:08,102 / 467 / 582,11:51:19
74,399,476,Guan Liong Ong,M,40,739,1:21:21,02:08,148 / 644 / 787,07:57,5:56:34,18.82,111 / 498 / 577,04:23,4:22:48,10:01,71 / 301 / 367,11:53:04
75,400,477,Ben Anderssen,M,40,601,1:04:38,01:42,40 / 202 / 236,06:25,6:03:52,18.44,132 / 556 / 652,05:33,4:32:45,10:24,81 / 355 / 439,11:53:15
76,401,478,Jason York,M,40,813,1:19:42,02:05,140 / 613 / 745,05:47,5:50:50,19.13,97 / 454 / 522,06:18,4:30:44,10:19,78 / 345 / 425,11:53:24
77,404,481,Brett Parker,M,40,742,1:06:20,01:44,54 / 247 / 293,06:44,5:56:20,18.83,108 / 496 / 574,06:56,4:37:39,10:35,86 / 388 / 485,11:54:00
78,407,484,Sante Scartozzi,M,40,763,1:41:08,02:39,204 / 872 / 1085,09:00,6:03:54,18.44,133 / 557 / 653,04:31,3:57:00,09:02,29 / 161 / 193,11:55:36
79,409,486,David Lim,M,40,710,1:12:21,01:54,104 / 444 / 537,05:45,6:12:11,18.03,144 / 615 / 723,06:19,4:19:06,09:52,60 / 278 / 336,11:55:45
80,415,494,David Johnston,M,40,696,1:28:12,02:19,177 / 754 / 930,07:38,6:01:20,18.57,123 / 539 / 627,07:59,4:11:52,09:36,48 / 242 / 292,11:57:04
81,421,500,Roger Pegoraro,M,40,745,1:21:13,02:08,147 / 642 / 784,04:36,5:52:13,19.05,101 / 466 / 539,07:07,4:32:56,10:24,82 / 358 / 444,11:58:07
82,424,503,Hamish Skinner,M,40,771,1:31:14,02:24,183 / 796 / 985,05:30,5:46:51,19.35,84 / 418 / 477,04:11,4:31:13,10:20,79 / 349 / 430,11:59:02
83,434,515,Nobuaki Ito,M,40,692,1:11:52,01:53,97 / 422 / 511,07:00,5:52:44,19.03,103 / 469 / 542,08:01,4:42:15,10:45,93 / 416 / 517,12:01:52
84,443,529,Simon Gould,M,40,669,1:07:39,01:46,64 / 286 / 339,05:39,5:36:44,19.93,61 / 323 / 364,06:49,5:09:03,11:47,122 / 541 / 682,12:05:56
85,446,534,Scott Freeman,M,40,660,1:14:23,01:57,115 / 490 / 593,04:50,5:35:25,20.01,56 / 311 / 351,03:59,5:08:33,11:46,119 / 539 / 678,12:07:10
86,452,542,Naoyuki Honda,M,40,685,1:10:30,01:51,83 / 378 / 459,08:25,6:01:57,18.54,126 / 544 / 634,06:13,4:41:31,10:44,92 / 410 / 511,12:08:38
87,455,545,Rodney Bush,M,40,630,1:10:06,01:50,80 / 366 / 443,05:39,6:03:12,18.48,131 / 553 / 647,06:59,4:43:03,10:47,95 / 421 / 523,12:09:01
88,487,589,Anthony Ricigliano,M,40,756,1:06:37,01:45,56 / 257 / 305,07:33,5:50:50,19.13,96 / 454 / 522,11:19,5:04:20,11:36,112 / 519 / 651,12:20:40
89,488,591,James Brodie,M,40,623,1:11:16,01:52,90 / 400 / 486,04:55,5:18:08,21.09,32 / 174 / 186,05:02,5:41:23,13:01,166 / 681 / 861,12:20:46
90,489,592,Mark Fitzpatrick,M,40,655,1:07:58,01:47,66 / 293 / 348,08:24,5:41:21,19.66,72 / 372 / 419,04:58,5:19:29,12:11,136 / 587 / 740,12:22:11
91,490,593,Michael LIDDELOW,M,40,709,1:13:37,01:56,108 / 476 / 575,04:40,5:59:04,18.69,118 / 525 / 607,03:05,5:02:10,11:31,111 / 510 / 640,12:22:38
92,491,594,Deke Markwell,M,40,724,1:02:12,01:38,28 / 137 / 159,04:38,5:47:23,19.32,86 / 423 / 483,03:38,5:24:53,12:23,143 / 612 / 773,12:22:46
93,496,603,Joel Labelle,M,40,704,1:38:36,02:35,198 / 861 / 1066,04:28,5:57:34,18.77,115 / 507 / 588,04:21,4:40:20,10:41,91 / 405 / 506,12:25:21
94,508,616,Simon Bird,M,40,615,1:11:02,01:52,87 / 394 / 478,10:36,6:02:42,18.5,130 / 552 / 646,09:39,4:59:09,11:24,106 / 496 / 624,12:33:11
95,511,619,Simon Longhurst,M,40,712,1:15:17,01:58,119 / 509 / 612,08:30,5:42:35,19.59,76 / 385 / 435,13:42,5:13:27,11:57,125 / 555 / 700,12:33:33
96,513,622,Simon WINFIELD,M,40,807,1:12:52,01:55,106 / 458 / 554,07:25,5:51:26,19.1,98 / 461 / 533,06:17,5:15:50,12:02,130 / 569 / 720,12:33:53
97,514,623,Andre Geelen,M,40,665,1:26:09,02:16,169 / 727 / 899,06:59,5:49:08,19.22,90 / 438 / 502,03:31,5:09:00,11:47,121 / 540 / 681,12:34:49
98,520,631,Kyle Brand,M,40,621,1:09:29,01:49,75 / 344 / 414,04:32,6:02:15,18.53,128 / 549 / 641,03:42,5:17:36,12:06,133 / 578 / 730,12:37:36
