A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
73,452,506,Neil CURRIE,M,40,1194,1:23:57,02:10,198 / 995 / 1144,06:22,5:59:21,18.7,118 / 604 / 649,04:29,4:15:56,09:46,61 / 295 / 345,11:50:05
74,457,512,Yanko MORALES,M,40,1265,1:07:47,01:45,58 / 356 / 392,05:52,5:47:47,19.32,89 / 444 / 476,06:03,4:43:23,10:48,116 / 544 / 637,11:50:52
75,460,515,Dean BRITZ,M,40,1046,1:03:46,01:39,30 / 236 / 260,06:34,5:40:51,19.72,63 / 346 / 371,11:13,4:48:40,11:01,132 / 609 / 710,11:51:04
76,462,518,Wayne JOLLY,M,40,1249,1:13:36,01:54,113 / 646 / 720,07:04,6:04:28,18.44,136 / 661 / 720,05:32,4:20:44,09:57,69 / 341 / 401,11:51:24
77,464,520,Warren PYE,M,40,1247,1:25:46,02:13,215 / 1027 / 1188,07:12,5:45:37,19.44,83 / 416 / 445,06:45,4:26:12,10:09,83 / 392 / 460,11:51:32
78,470,528,Kobus NELL,M,40,1153,1:12:06,01:52,97 / 568 / 622,07:37,5:50:43,19.16,98 / 478 / 514,05:04,4:36:46,10:33,104 / 487 / 571,11:52:16
79,472,530,Stefan KRAUSKOPF,M,40,1235,1:20:58,02:05,179 / 917 / 1046,11:41,5:58:35,18.74,113 / 596 / 640,05:43,4:15:37,09:45,60 / 294 / 340,11:52:34
80,473,531,Ian PATTERSON,M,40,1111,1:15:33,01:57,133 / 733 / 824,07:46,5:44:21,19.51,76 / 397 / 426,09:47,4:35:14,10:30,100 / 479 / 559,11:52:41
81,474,532,Graham KEECH,M,40,1089,1:08:34,01:46,64 / 388 / 429,09:13,5:40:06,19.76,60 / 335 / 360,08:45,4:46:12,10:55,123 / 582 / 682,11:52:50
82,487,545,Joe VAN ROOYEN,M,40,1131,1:06:36,01:43,51 / 332 / 366,04:20,6:19:07,17.73,173 / 817 / 910,04:14,4:20:39,09:56,68 / 340 / 400,11:54:56
83,489,547,Wilhelm GRIESEL,M,40,1255,1:14:11,01:55,118 / 669 / 749,07:51,5:40:09,19.76,61 / 336 / 361,07:07,4:46:04,10:55,122 / 581 / 680,11:55:22
84,490,548,Willie STEGMANN,M,40,1260,1:15:18,01:56,127 / 714 / 802,04:20,5:46:13,19.41,85 / 424 / 454,04:42,4:44:56,10:52,119 / 567 / 663,11:55:29
85,505,564,Sean MOORE,M,40,1226,1:16:07,01:58,143 / 757 / 854,05:47,5:59:34,18.69,120 / 606 / 651,04:37,4:31:47,10:22,94 / 441 / 518,11:57:52
86,512,573,Gert BECKER,M,40,1080,1:12:17,01:52,103 / 579 / 635,14:32,5:59:46,18.68,121 / 612 / 657,10:09,4:22:27,10:01,74 / 359 / 421,11:59:11
87,513,574,Chris LOVEMORE,M,40,1032,1:15:47,01:57,137 / 745 / 838,07:27,5:59:55,18.67,122 / 614 / 659,07:32,4:28:35,10:15,87 / 414 / 485,11:59:16
