A,G,O,Athelete,M/F,A2,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
6,42,44,Bentley Walker,M,30,1511,26:00,01:20,3 / 24 / 27,02:17,2:19:05,24.16,9 / 47 / 48,01:57,1:33:36,07:08,13 / 71 / 76,4:22:53
3,43,45,William Capune,M,45,1955,30:18,01:34,17 / 151 / 201,02:20,2:17:31,24.43,3 / 33 / 33,01:58,1:31:06,06:57,3 / 52 / 56,4:23:10
8,44,46,Michael Egan,M,35,948,26:11,01:21,5 / 26 / 29,02:28,2:14:59,24.89,3 / 17 / 17,01:55,1:37:57,07:28,19 / 102 / 120,4:23:27
9,45,47,Andrew Lipscomb,M,35,1111,29:31,01:31,25 / 123 / 163,01:58,2:22:34,23.57,14 / 90 / 91,02:02,1:27:24,06:40,7 / 35 / 36,4:23:28
9,46,48,Jeff Beech,M,40,603,28:14,01:27,13 / 78 / 104,01:42,2:22:35,23.57,24 / 91 / 92,01:47,1:29:25,06:49,8 / 43 / 44,4:23:41
10,47,49,Shawn Young,M,35,1200,32:16,01:40,65 / 272 / 353,02:31,2:19:50,24.03,9 / 59 / 60,01:57,1:28:30,06:45,9 / 39 / 40,4:25:03
4,48,50,Joe Donahue,M,45,2082,27:48,01:26,6 / 70 / 92,01:56,2:25:01,23.17,18 / 128 / 133,02:20,1:28:08,06:43,2 / 38 / 39,4:25:11
7,49,51,Albert Kim,M,30,1608,28:20,01:28,23 / 81 / 109,01:51,2:25:34,23.08,29 / 133 / 138,02:22,1:27:11,06:39,5 / 32 / 33,4:25:15
2,50,52,Jesse O'Donnell,M,25,2420,29:47,01:32,20 / 133 / 178,01:22,2:16:50,24.56,1 / 27 / 27,01:59,1:35:24,07:16,8 / 83 / 92,4:25:19
10,51,53,Tim Morris,M,40,811,29:16,01:30,26 / 113 / 150,01:40,2:21:37,23.73,20 / 78 / 79,02:14,1:31:01,06:56,11 / 51 / 55,4:25:46
8,52,54,Rick Fesler,M,30,1480,27:34,01:25,17 / 63 / 79,01:25,2:18:57,24.18,8 / 45 / 45,01:36,1:37:09,07:24,22 / 98 / 113,4:26:39
3,53,55,Daniel Dziubski,M,25,2412,31:49,01:38,37 / 245 / 318,02:04,2:24:20,23.28,8 / 119 / 122,01:48,1:26:48,06:37,1 / 27 / 28,4:26:47
3,3,56,Kristin Andrews,Pro,--,16,29:31,01:31,25 / 41 / 163,01:31,2:23:50,23.36,20 / 3 / 111,02:00,1:30:06,06:52,15 / 3 / 49,4:26:56
3,54,57,Chris Hague,M,20,2307,35:12,01:49,28 / 510 / 675,01:58,2:27:03,22.85,8 / 156 / 163,02:16,1:20:30,06:08,1 / 6 / 6,4:26:58
5,55,58,Glenn Oxford,M,45,2161,31:06,01:36,24 / 194 / 256,02:01,2:16:56,24.54,1 / 28 / 28,02:21,1:34:51,07:14,6 / 78 / 84,4:27:14
17,56,59,Ryan Kelly,Pro,--,9,28:46,01:29,21 / 95 / 127,01:04,2:22:27,23.59,18 / 85 / 86,01:32,1:33:48,07:09,20 / 72 / 77,4:27:35
4,57,60,Tommy Dion,M,20,2317,34:34,01:47,25 / 454 / 601,01:43,2:26:56,22.87,7 / 154 / 161,01:47,1:22:46,06:19,2 / 12 / 12,4:27:45
4,58,61,Brian Jastrebsky,M,25,2335,30:41,01:35,26 / 167 / 226,02:17,2:18:32,24.25,2 / 40 / 40,01:51,1:34:30,07:12,6 / 77 / 83,4:27:48
11,59,62,Scott Duprex,M,40,661,28:35,01:28,20 / 91 / 121,02:21,2:15:56,24.72,6 / 24 / 24,02:02,1:39:21,07:35,25 / 115 / 136,4:28:13
12,60,63,Richard Blanco,M,40,610,30:28,01:34,44 / 157 / 212,01:38,2:18:33,24.25,8 / 41 / 41,01:58,1:35:47,07:18,18 / 86 / 96,4:28:22
5,61,64,Matthew Bach,M,25,2342,30:22,01:34,23 / 155 / 207,01:55,2:24:07,23.31,6 / 117 / 120,01:59,1:30:56,06:56,3 / 50 / 54,4:29:17
9,62,65,Christopher Johnson,M,30,1607,31:24,01:37,46 / 212 / 282,02:12,2:22:58,23.5,19 / 99 / 100,02:48,1:30:04,06:52,7 / 46 / 48,4:29:24
13,63,66,Matthew Russell,M,40,854,30:49,01:35,49 / 176 / 237,01:59,2:22:07,23.64,22 / 82 / 83,02:12,1:32:53,07:05,13 / 62 / 67,4:29:58
6,64,67,Doug Bishop,M,25,2388,29:59,01:33,21 / 142 / 190,01:48,2:27:34,22.77,14 / 161 / 170,01:35,1:29:11,06:48,2 / 41 / 42,4:30:05
11,65,68,Fabrice Guillaume,M,35,958,29:28,01:31,24 / 120 / 159,01:27,2:20:26,23.93,11 / 67 / 68,02:09,1:37:10,07:25,18 / 99 / 114,4:30:38
4,4,69,Sarah Piampiano,Pro,--,13,29:18,01:31,23 / 38 / 153,01:36,2:23:31,23.41,19 / 2 / 107,01:56,1:34:20,07:12,21 / 6 / 81,4:30:39
12,66,70,Bryan Magnus,M,35,1066,35:10,01:49,117 / 506 / 669,02:09,2:25:07,23.15,21 / 129 / 134,02:09,1:26:30,06:36,5 / 25 / 26,4:31:03
5,5,71,Amber Ferreira,Pro,--,24,26:16,01:21,16 / 4 / 32,01:40,2:30:51,22.27,24 / 17 / 233,01:45,1:30:40,06:55,16 / 4 / 51,4:31:09
14,67,72,Phillip Falkner,M,40,671,29:45,01:32,36 / 131 / 176,02:26,2:26:47,22.89,34 / 151 / 158,02:38,1:29:48,06:51,9 / 45 / 47,4:31:22
7,68,73,Andy Sovonick,M,25,2358,29:13,01:30,18 / 110 / 146,02:16,2:22:48,23.53,4 / 96 / 97,03:20,1:34:02,07:10,5 / 74 / 79,4:31:37
15,69,74,Julio Lujambio,M,40,780,33:16,01:43,95 / 349 / 457,01:58,2:19:40,24.06,13 / 57 / 58,02:20,1:34:54,07:14,17 / 80 / 86,4:32:06
13,70,75,Otho Keller,M,35,964,24:00,01:14,2 / 10 / 11,01:52,2:20:35,23.9,12 / 68 / 69,02:09,1:43:35,07:54,37 / 166 / 200,4:32:09
6,71,76,Scott Jones,M,45,2097,27:46,01:26,4 / 68 / 90,02:12,2:22:28,23.58,10 / 87 / 88,02:24,1:37:29,07:26,8 / 100 / 116,4:32:17
8,72,77,Ryan Hardy,M,25,2369,25:39,01:19,2 / 21 / 24,02:21,2:24:03,23.33,5 / 115 / 118,01:54,1:39:14,07:34,11 / 113 / 133,4:33:09
10,73,78,Richard Bounds,M,30,1590,34:27,01:47,93 / 448 / 595,01:56,2:21:52,23.68,16 / 80 / 81,02:02,1:32:56,07:05,11 / 64 / 69,4:33:11
11,74,79,Michael Welch,M,30,1466,31:53,01:39,50 / 249 / 324,01:42,2:22:37,23.56,18 / 93 / 94,02:17,1:35:10,07:15,15 / 81 / 88,4:33:37
12,75,80,Taos Poole,M,30,1553,31:47,01:38,49 / 243 / 315,02:04,2:26:44,22.9,31 / 148 / 155,02:00,1:31:30,06:59,9 / 56 / 60,4:34:03
16,76,81,Dimitri Tchikatilov,M,40,2444,28:37,01:28,21 / 92 / 123,03:08,2:19:21,24.11,9 / 52 / 53,02:25,1:40:42,07:41,28 / 124 / 145,4:34:10
13,77,82,Sebastian Binnemann,M,30,1438,27:14,01:24,13 / 55 / 66,01:22,2:19:20,24.11,11 / 51 / 52,01:34,1:45:10,08:01,40 / 191 / 227,4:34:38
14,78,83,James DeFilippi,M,30,1595,29:19,01:31,28 / 116 / 154,01:39,2:18:10,24.32,7 / 38 / 38,01:53,1:43:42,07:54,35 / 168 / 204,4:34:41
9,79,84,Andrew Maxwell,M,25,2375,28:04,01:27,11 / 76 / 100,01:26,2:25:08,23.15,9 / 130 / 135,01:53,1:38:25,07:30,10 / 104 / 122,4:34:55
7,80,85,John O'connell,M,45,2162,29:54,01:32,14 / 137 / 183,01:42,2:18:45,24.22,4 / 43 / 43,02:22,1:42:14,07:48,15 / 152 / 177,4:34:55
15,81,86,Mike Monaghan,M,30,1549,33:25,01:43,72 / 364 / 475,03:04,2:21:36,23.73,15 / 76 / 77,02:58,1:34:00,07:10,14 / 73 / 78,4:35:01
14,82,87,David Hollely,M,35,1061,27:22,01:25,13 / 58 / 72,02:06,2:22:30,23.58,13 / 88 / 89,02:11,1:41:13,07:43,28 / 135 / 159,4:35:21
8,83,88,George Corbi,M,45,2177,31:14,01:37,27 / 200 / 267,02:15,2:18:48,24.21,5 / 44 / 44,01:41,1:41:24,07:44,13 / 136 / 160,4:35:22
16,84,89,Stephen Mohr,M,30,1547,26:56,01:23,8 / 42 / 52,01:26,2:20:23,23.93,13 / 66 / 67,02:18,1:44:25,07:58,39 / 183 / 219,4:35:25
17,85,90,Wayne Morris,M,40,812,37:34,01:56,201 / 700 / 957,02:21,2:19:37,24.07,12 / 56 / 57,02:24,1:33:33,07:08,15 / 70 / 75,4:35:28
1,86,91,Duncan Lonsdale,M,50,430,27:37,01:25,2 / 65 / 82,02:40,2:28:41,22.6,8 / 182 / 192,02:13,1:34:22,07:12,6 / 76 / 82,4:35:31
10,87,92,Marc Malott,M,25,2353,30:18,01:34,22 / 151 / 201,02:31,2:25:13,23.14,10 / 131 / 136,02:09,1:35:23,07:16,7 / 82 / 91,4:35:32
17,88,93,John Stevenson,M,30,1556,28:51,01:29,25 / 98 / 130,01:45,2:17:16,24.48,4 / 30 / 30,02:11,1:45:56,08:05,44 / 200 / 240,4:35:58
6,6,95,Heather Leiggi,Pro,--,25,29:22,01:31,24 / 39 / 158,01:26,2:27:54,22.72,22 / 10 / 174,01:55,1:35:27,07:17,22 / 10 / 93,4:36:03
15,89,94,Jake Oergel,M,35,1020,29:49,01:32,28 / 134 / 179,01:51,2:25:36,23.08,23 / 134 / 139,01:53,1:36:56,07:23,17 / 95 / 109,4:36:03
2,90,96,Steve Patterson,M,50,438,35:18,01:49,63 / 517 / 682,02:10,2:23:04,23.49,3 / 100 / 101,02:17,1:33:19,07:07,4 / 65 / 70,4:36:07
7,7,97,Suzanne Serpico,Pro,--,21,25:23,01:18,14 / 2 / 22,01:22,2:29:14,22.52,23 / 11 / 197,01:48,1:38:37,07:31,25 / 19 / 126,4:36:22
3,91,98,Michael Smith,M,50,490,28:31,01:28,7 / 89 / 118,03:21,2:32:02,22.1,16 / 243 / 267,03:02,1:29:29,06:49,1 / 44 / 45,4:36:22
16,92,99,Vincenzo Marchione,M,35,972,30:15,01:33,32 / 150 / 200,01:37,2:25:19,23.12,22 / 132 / 137,01:56,1:38:06,07:29,20 / 103 / 121,4:37:11
1,8,100,Lauren Capone,F,20,2216,27:05,01:24,4 / 11 / 61,01:55,2:31:14,22.22,9 / 20 / 244,02:11,1:34:59,07:15,4 / 7 / 87,4:37:22
